iter	Passed	Remaining
0	2	226
1	3	190
2	5	183
3	7	176
4	9	188
5	11	182
6	13	177
7	15	173
8	16	170
9	18	168
10	20	166
11	22	166
12	24	165
13	26	162
14	27	158
15	29	155
16	31	152
17	32	149
18	34	147
19	37	148
20	39	147
21	40	144
22	42	141
23	44	139
24	45	137
25	47	134
26	48	132
27	50	130
28	53	129
29	55	128
30	56	126
31	58	124
32	60	122
33	61	120
34	63	117
35	65	116
36	67	114
37	69	112
38	70	110
39	72	108
40	74	106
41	74	103
42	76	101
43	77	99
44	79	97
45	81	96
46	84	94
47	85	92
48	87	91
49	89	89
50	90	87
51	92	85
52	94	83
53	95	81
54	97	79
55	99	78
56	101	76
57	102	74
58	104	72
59	105	70
60	107	69
61	111	68
62	114	67
63	116	65
64	118	63
65	119	61
66	121	60
67	124	58
68	126	57
69	128	55
70	130	53
71	132	51
72	134	49
73	135	47
74	137	45
75	138	43
76	140	42
77	143	40
78	144	38
79	146	36
80	148	34
81	149	32
82	151	31
83	153	29
84	155	27
85	157	25
86	160	23
87	162	22
88	164	20
89	165	18
90	167	16
91	171	14
92	173	13
93	176	11
94	178	9
95	179	7
96	181	5
97	182	3
98	184	1
99	186	0
